日期,Close,Open,High,Low,Volume,涨跌幅,涨跌情况（1为涨、0为跌）
2024/3/22,153.43,156.4,156.76,152.36,20.16,-2.03%,0
2024/3/25,151.72,152.51,152.9,150,16.17,-1.11%,0
2024/3/26,155.22,151.77,155.38,151.77,18.09,2.31%,1
2024/3/27,152.66,155,155.3,152.6,12.36,-1.65%,0
2024/3/28,153.1,152.66,155.34,152.05,14.42,0.29%,1
2024/3/29,153.51,153.1,155.02,152.56,8.83,0.27%,1
2024/4/1,157.28,154.5,158.56,154.5,17.73,2.46%,1
2024/4/2,155.5,157,157.18,154.86,11.41,-1.13%,0
2024/4/3,154.6,155.9,156.97,153.3,9.83,-0.58%,0
2024/4/8,147.29,152,152,147.05,27,-4.73%,0
2024/4/9,146.48,146.5,148.21,145.68,13.04,-0.55%,0
2024/4/10,143.12,146.2,146.5,142.14,17.17,-2.29%,0
2024/4/11,142.34,142.6,142.66,140.6,15.99,-0.54%,0
2024/4/12,140.49,142,143.45,140.1,13.41,-1.30%,0
2024/4/15,147.32,140.6,147.98,140.06,25.43,4.86%,1
2024/4/16,144.97,146.6,147.16,144.31,13.57,-1.60%,0
2024/4/17,145.3,144.53,145.54,143.8,13.7,0.23%,1
2024/4/18,144.98,144.07,146.78,143.3,15.25,-0.22%,0
2024/4/19,142.9,143.98,144.5,141.99,12.73,-1.43%,0
2024/4/22,144.56,142.9,146.48,142.9,14.04,1.16%,1
2024/4/23,147.03,144,147.49,143.97,17.17,1.71%,1
2024/4/24,148.98,147.93,149.2,146,14.23,1.33%,1
2024/4/25,148.98,148.5,149.35,147.02,10.08,0.00%,0
2024/4/26,152.25,149.2,152.7,149.2,17.95,2.19%,1
2024/4/29,151.75,151,156.56,150.01,27.54,-0.33%,0
2024/4/30,150.43,152.3,153.49,150.43,15.53,-0.87%,0
2024/5/6,155.01,153.44,158.33,153.4,31.68,3.04%,1
2024/5/7,155.94,155,156.42,153.55,14.55,0.60%,1
2024/5/8,155,155.98,156.32,154.35,10.11,-0.60%,0
2024/5/9,154.84,154.33,155.69,153.73,11.33,-0.10%,0
2024/5/10,154.43,155,155.89,152.8,10.25,-0.26%,0
2024/5/13,151.1,152.8,152.98,150.27,17.26,-2.16%,0
